Protein,Partition_type,Curve_type,p_value,test_statistic,test_result,is_significant
CD49b,quarter,Disease_Free,0.0465812717865,3.96044918803,Reject Null,True
CDK1,half,Overall,0.511231041231,0.431546575893,Cannot Reject Null,False
CDK1,quarter,Overall,0.583330032978,0.300881969125,Cannot Reject Null,False
CDK1,half,Disease_Free,0.84325046613,0.0391001098461,Cannot Reject Null,False
CDK1,quarter,Disease_Free,0.715454844578,0.132889377723,Cannot Reject Null,False
Chk1,half,Overall,0.719356010514,0.129110577714,Cannot Reject Null,False
Chk1,quarter,Overall,0.536845211942,0.381418206398,Cannot Reject Null,False
Chk1,half,Disease_Free,0.429935353601,0.622998091287,Cannot Reject Null,False
Chk1,quarter,Disease_Free,0.36572693665,0.818131846872,Cannot Reject Null,False
Chk1_pS345,half,Overall,0.338714320958,0.915291478723,Cannot Reject Null,False
Chk1_pS345,quarter,Overall,0.246591655353,1.34251087474,Cannot Reject Null,False
Chk1_pS345,half,Disease_Free,0.508604712345,0.43693666955,Cannot Reject Null,False
Chk1_pS345,quarter,Disease_Free,0.618834343658,0.247509297432,Cannot Reject Null,False
Chk2,half,Overall,0.611113976825,0.258555949574,Cannot Reject Null,False
Chk2,quarter,Overall,0.529685900702,0.394994103953,Cannot Reject Null,False
Chk2,half,Disease_Free,0.979620770734,0.00065251401529,Cannot Reject Null,False
Chk2,quarter,Disease_Free,0.405234115392,0.69273955899,Cannot Reject Null,False
Chk2_pT68,half,Overall,0.801038439719,0.0635057110426,Cannot Reject Null,False
Chk2_pT68,quarter,Overall,0.77736111132,0.0799530018402,Cannot Reject Null,False
Chk2_pT68,half,Disease_Free,0.157302969258,1.99996374764,Cannot Reject Null,False
Chk2_pT68,quarter,Disease_Free,0.142531996754,2.15040812919,Cannot Reject Null,False
cIAP,half,Overall,0.830646574694,0.0457413975335,Cannot Reject Null,False
cIAP,quarter,Overall,0.48663200962,0.483964540069,Cannot Reject Null,False
cIAP,half,Disease_Free,0.261300692853,1.26185268972,Cannot Reject Null,False
cIAP,quarter,Disease_Free,0.417495515438,0.657354345582,Cannot Reject Null,False
Claudin-7,half,Overall,0.0377448816346,4.31648191838,Reject Null,True
Claudin-7,quarter,Overall,0.133044061712,2.256621168,Cannot Reject Null,False
Claudin-7,half,Disease_Free,0.945967025495,0.00459306233368,Cannot Reject Null,False
Claudin-7,quarter,Disease_Free,0.476391161182,0.507113305639,Cannot Reject Null,False
Collagen_VI,half,Overall,0.294855212057,1.0973190609,Cannot Reject Null,False
Collagen_VI,quarter,Overall,0.997286822905,1.15631946114e-05,Cannot Reject Null,False
Collagen_VI,half,Disease_Free,0.82615752462,0.048238352383,Cannot Reject Null,False
Collagen_VI,quarter,Disease_Free,0.780052350643,0.0779810166904,Cannot Reject Null,False
Cyclin_B1,half,Overall,0.825645536666,0.0485275545808,Cannot Reject Null,False
Cyclin_B1,quarter,Overall,0.619162261528,0.247046763636,Cannot Reject Null,False
Cyclin_B1,half,Disease_Free,0.22897782342,1.44719965601,Cannot Reject Null,False
Cyclin_B1,quarter,Disease_Free,0.651589262967,0.203902333402,Cannot Reject Null,False
Cyclin_D1,half,Overall,0.0511946928578,3.80189236231,Cannot Reject Null,False
Cyclin_D1,quarter,Overall,0.147048249896,2.10260679943,Cannot Reject Null,False
